"STATION","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","1970-02-05","   80","   90",,,,"    0","    0","   25",,"   22"," -100",,"  160",,,,,,"   72",,,,,,,,,,,,"    1",,,,,,"    1",,"    1",,,,
"USW00094789","1970-02-06","  100","  100",,,,"    0","    0","    0",,"   28","    0",,"  220",,,,,,"   36",,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00094789","1970-02-07","   30","    0",,,,"    0","    0","    0",,"   56","  -11",,"   30",,,,,,"   40",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-08","   70","   80",,,,"    0","    0","    0",,"   39","  -17",,"  280",,,,,,"   31",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-02-09","  100","  100",,,,"    0","    0","    0",,"   50","    6",,"   70",,,,,,"   67",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-02-10","  100","  100",,,,"  384","    0","    0",,"   78","   28",,"  100",,,,,,"  183",,,,,"    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-02-11","  100","   90",,,,"    0","    0","    0",,"   72","   22",,"  270",,,,,,"  134",,,,,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-12","   40","   30",,,,"    0","    0","    0",,"   28","  -11",,"  270",,,,,,"  134",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-02-13","   50","   50",,,,"    0","    0","    0",,"    0","  -56",,"  290",,,,,,"  107",,,,,,,,,,,,,"    1",,,,,,,"    1",,,,
"USW00094789","1970-02-14","   70","   90",,,,"   28","   41","    0",,"  -44","  -83",,"   60",,,,,,"   67",,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
